userid,foodid,rating
17104001,33,3
17104001,16,3
17104001,7,5
17104001,32,2
17104001,53,4
17104001,27,1
17104001,42,3
17104001,19,5
17104001,60,5
17104001,63,1
17104001,32,2
17104001,62,1
17104001,46,5
17104001,19,1
17104001,6,2
17104001,32,1
17104001,16,3
17104001,53,1
17104001,20,2
17104001,25,2
17104001,37,3
17104001,22,2
17104001,11,2
17104001,9,1
17104001,8,5
17104001,5,2
17104001,43,1
17104001,43,1
17104001,57,2
17104001,35,1
17104001,38,4
17104001,14,1
17104001,46,4
17104001,22,4
17104001,4,4
17104001,19,3
17104001,14,3
17104001,10,3
17104001,13,4
17104001,42,2
17104002,2,2
17104002,37,3
17104002,34,5
17104002,3,2
17104002,11,5
17104002,32,2
17104002,8,5
17104002,23,2
17104002,6,5
17104002,58,3
17104002,15,2
17104002,33,5
17104002,38,2
17104002,11,1
17104002,34,1
17104002,3,1
17104002,37,4
17104002,5,1
17104002,29,4
17104002,42,3
17104002,42,3
17104002,20,1
17104002,36,4
17104002,63,3
17104002,36,4
17104002,12,5
17104002,16,1
17104002,48,1
17104002,48,3
17104002,25,5
17104002,63,2
17104002,24,1
17104002,56,1
17104002,7,5
17104002,54,1
17104002,40,3
17104002,11,3
17104002,39,3
17104002,30,5
17104002,53,1
17104003,59,2
17104003,42,3
17104003,5,2
17104003,19,5
17104003,9,3
17104003,21,2
17104003,32,2
17104003,57,1
17104003,37,2
17104003,24,5
17104003,22,1
17104003,54,5
17104003,63,5
17104003,5,2
17104003,31,3
17104003,59,1
17104003,58,3
17104003,42,2
17104003,23,5
17104003,26,3
17104003,27,4
17104003,5,4
17104003,11,5
17104003,51,4
17104003,9,3
17104003,19,3
17104003,62,3
17104003,58,2
17104003,7,4
17104003,19,4
17104003,57,5
17104003,57,2
17104003,34,3
17104003,36,3
17104003,49,2
17104003,36,4
17104003,53,1
17104003,51,3
17104003,59,4
17104003,58,4
17104004,34,3
17104004,35,4
17104004,28,5
17104004,47,2
17104004,50,5
17104004,49,2
17104004,43,1
17104004,7,2
17104004,55,5
17104004,28,4
17104004,8,3
17104004,26,2
17104004,59,2
17104004,62,2
17104004,9,5
17104004,37,4
17104004,18,2
17104004,5,4
17104004,22,2
17104004,27,4
17104004,38,2
17104004,15,5
17104004,4,1
17104004,42,5
17104004,19,3
17104004,30,5
17104004,9,5
17104004,30,4
17104004,41,5
17104004,17,2
17104004,5,4
17104004,58,3
17104004,54,2
17104004,3,4
17104004,41,3
17104004,37,2
17104004,28,1
17104004,32,5
