userid,foodid,rating
17104001,3,1
17104001,43,3
17104001,2,4
17104001,10,4
17104001,22,4
17104001,45,1
17104001,50,2
17104001,81,4
17104001,10,3
17104001,69,1
17104001,81,3
17104001,69,5
17104001,50,2
17104001,68,4
17104001,35,4
17104001,2,5
17104001,30,1
17104001,63,2
17104001,30,5
17104001,18,2
17104001,11,5
17104001,6,5
17104001,6,5
17104001,20,5
17104001,79,1
17104001,17,1
17104001,43,2
17104001,69,1
17104001,23,3
17104001,74,5
17104001,40,1
17104001,24,1
17104001,55,3
17104001,34,2
17104001,46,3
17104001,17,4
17104001,21,4
17104001,5,1
17104001,5,3
17104001,70,5
17104002,59,3
17104002,1,1
17104002,7,3
17104002,56,3
17104002,53,1
17104002,15,3
17104002,77,4
17104002,78,2
17104002,7,2
17104002,65,2
17104002,33,2
17104002,25,1
17104002,10,2
17104002,74,2
17104002,14,5
17104002,20,3
17104002,64,5
17104002,8,5
17104002,77,5
17104002,25,5
17104002,8,3
17104002,4,5
17104002,15,1
17104002,33,5
17104002,43,1
17104002,59,5
17104002,63,1
17104002,20,1
17104002,22,4
17104002,67,4
17104002,26,4
17104002,18,1
17104002,23,5
17104002,67,5
17104002,53,2
17104002,50,1
17104002,11,2
17104002,17,4
17104002,29,5
17104002,76,2
17104003,65,4
17104003,58,5
17104003,4,1
17104003,53,4
17104003,77,1
17104003,58,5
17104003,8,3
17104003,64,1
17104003,23,2
17104003,40,5
17104003,81,1
17104003,5,5
17104003,54,5
17104003,2,5
17104003,63,5
17104003,12,4
17104003,10,1
17104003,75,2
17104003,30,5
17104003,74,1
17104003,54,2
17104003,44,3
17104003,38,1
17104003,62,2
17104003,69,1
17104003,37,5
17104003,81,2
17104003,66,3
17104003,63,4
17104003,29,2
17104003,11,2
17104003,19,4
17104003,47,3
17104003,9,5
17104003,40,4
17104003,19,2
17104003,18,5
17104003,13,1
17104003,18,2
17104003,3,3
17104004,11,1
17104004,45,4
17104004,63,5
17104004,76,2
17104004,14,5
17104004,32,2
17104004,39,5
17104004,77,5
17104004,35,2
17104004,49,2
17104004,18,2
17104004,47,3
17104004,11,5
17104004,36,4
17104004,53,4
17104004,28,3
17104004,9,3
17104004,31,4
17104004,5,1
17104004,76,2
17104004,33,1
17104004,81,2
17104004,60,1
17104004,46,2
17104004,54,3
17104004,16,1
17104004,14,2
17104004,21,3
17104004,5,3
17104004,38,1
17104004,50,3
17104004,45,4
17104004,60,4
17104004,62,1
17104004,67,4
17104004,44,3
17104004,5,5
17104004,19,5
17104004,8,2
17104004,14,5
17104005,24,3
17104005,17,4
17104005,27,4
17104005,47,4
17104005,13,1
17104005,46,3
17104005,16,1
17104005,1,3
17104005,45,5
17104005,16,5
17104005,64,3
17104005,33,3
17104005,18,2
17104005,42,4
17104005,11,4
17104005,18,1
17104005,44,1
17104005,80,4
17104005,29,3
17104005,36,5
17104005,43,2
17104005,58,1
17104005,14,4
17104005,14,1
17104005,75,3
17104005,50,2
17104005,35,2
17104005,38,4
17104005,74,2
17104005,13,2
17104005,76,3
17104005,13,2
17104005,54,3
17104005,69,1
17104005,72,5
17104005,80,4
17104005,72,4
17104005,1,5
17104005,77,1
17104005,44,1
17104006,36,4
17104006,43,4
17104006,62,2
17104006,40,3
17104006,31,5
17104006,47,4
17104006,29,2
17104006,15,5
17104006,46,2
17104006,27,1
17104006,42,3
17104006,60,2
17104006,69,1
17104006,69,5
17104006,65,5
17104006,5,3
17104006,74,2
17104006,25,4
17104006,52,2
17104006,21,2
17104006,55,5
17104006,4,5
17104006,56,5
17104006,67,1
17104006,20,3
17104006,42,2
17104006,25,5
17104006,37,5
17104006,71,4
17104006,38,3
17104006,7,4
17104006,16,4
17104006,17,3
17104006,22,3
17104006,15,1
17104006,80,3
17104006,65,3
17104006,1,3
